signal_time,trigger,label,return_pct,r_multiple,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,threshold
2022-06-09 18:00:00,atr_breakdown,1,0.9678641693301904,1.4999999999999936,2022-06-09 19:00:00,2022-06-09 19:00:00,target,0.5781647061460391,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-13 19:00:00,atr_breakdown,0,-0.8584987057808413,-1.0,2022-06-13 20:00:00,2022-06-14 03:00:00,stop,0.5844542679832212,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-16 17:00:00,atr_breakdown,0,-0.8669821422403357,-1.0000000000000027,2022-06-16 18:00:00,2022-06-16 22:00:00,stop,0.6113647030507559,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-28 18:00:00,atr_breakdown,1,1.1078959568991742,1.5,2022-06-28 19:00:00,2022-06-29 13:00:00,target,0.5803204330756238,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-07-22 17:00:00,atr_breakdown,0,-0.45935293617263007,-1.0000000000000044,2022-07-22 18:00:00,2022-07-24 22:00:00,stop,0.5726777762170508,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.55
2022-09-02 17:00:00,atr_breakdown,0,-0.4254279723980736,-0.5705928237129485,2022-09-02 18:00:00,2022-09-05 15:00:00,time,0.6437259409826044,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
2022-09-06 13:00:00,atr_breakdown,0,-0.4649155043778941,-0.9999999999999862,2022-09-06 14:00:00,2022-09-06 14:00:00,stop,0.6543144938937951,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
2022-09-15 14:00:00,atr_breakdown,0,-0.4711123666260475,-0.9999999999999863,2022-09-15 15:00:00,2022-09-15 15:00:00,stop,0.563583170439697,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
2022-09-20 17:00:00,atr_breakdown,0,-0.45942173598884084,-1.0000000000000095,2022-09-20 18:00:00,2022-09-20 18:00:00,stop,0.6524123056090511,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
2022-09-21 19:00:00,rsi_rollover,1,1.3117133702713835,1.5000000000000027,2022-09-21 20:00:00,2022-09-22 01:00:00,target,0.6561931681642117,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
2022-09-21 19:00:00,atr_breakdown,1,1.3117133702713835,1.5000000000000027,2022-09-21 20:00:00,2022-09-22 01:00:00,target,0.6561931681642117,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.55
