signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,capital_before,capital_after
2022-09-29 13:00:00,atr_breakdown,2022-09-29 14:00:00,11303.0,2022-09-29 14:00:00,11202.25,tightened_stop,1,201.5,0.8993728938383017,1.0075,0.7245027861611308,200.0,either,35,1.1,1.0,False,12851.5,13053.0
2022-09-29 14:00:00,atr_breakdown,2022-09-29 15:00:00,11261.5,2022-09-29 15:00:00,11237.0,tightened_stop,1,49.0,0.21802972323574643,0.245,0.8032541613722226,200.0,either,35,1.1,1.0,False,13053.0,13102.0
2022-09-30 19:00:00,atr_breakdown,2022-09-30 20:00:00,11085.0,2022-09-30 20:00:00,11070.75,tightened_stop,1,28.5,0.12871756656052113,0.1425,0.6242628070326535,200.0,either,35,1.1,1.0,False,13102.0,13130.5
2022-10-07 12:00:00,atr_breakdown,2022-10-07 13:00:00,11399.5,2022-10-07 13:00:00,11262.75,tightened_stop,1,273.5,1.2141794854720223,1.3675,0.5726096256155941,200.0,either,35,1.1,1.0,False,13130.5,13404.0
2022-10-07 13:00:00,atr_breakdown,2022-10-07 14:00:00,11272.5,2022-10-07 14:00:00,11250.75,tightened_stop,1,43.5,0.19332044530364634,0.2175,0.6203213360094747,200.0,either,35,1.1,1.0,False,13404.0,13447.5
2022-10-07 15:00:00,atr_breakdown,2022-10-07 16:00:00,11233.5,2022-10-07 16:00:00,11167.5,tightened_stop,1,132.0,0.5910006715916793,0.66,0.6308255594935639,200.0,either,35,1.1,1.0,False,13447.5,13579.5
2022-10-07 16:00:00,atr_breakdown,2022-10-07 17:00:00,11182.75,2022-10-07 17:00:00,11155.0,tightened_stop,1,55.5,0.2487673688928771,0.2775,0.6021067910424643,200.0,either,35,1.1,1.0,False,13579.5,13635.0
2022-10-14 14:00:00,atr_breakdown,2022-10-14 15:00:00,10963.75,2022-10-14 15:00:00,10867.5,tightened_stop,1,192.5,0.8856682769726287,0.9625,0.666377261682464,200.0,either,35,1.1,1.0,False,13635.0,13827.5
2022-10-14 15:00:00,atr_breakdown,2022-10-14 16:00:00,10879.25,2022-10-14 16:00:00,10829.5,tightened_stop,1,99.5,0.45939332379150155,0.4975,0.7333801185195996,200.0,either,35,1.1,1.0,False,13827.5,13927.0
2022-11-02 13:00:00,atr_breakdown,2022-11-02 14:00:00,11325.75,2022-11-02 14:00:00,11300.0,tightened_stop,1,51.5,0.2278761061946799,0.2575,0.5808418341246755,200.0,either,35,1.1,1.0,False,13927.0,13978.5
2022-11-02 14:00:00,atr_breakdown,2022-11-02 15:00:00,11315.5,2022-11-02 15:00:00,11270.25,tightened_stop,1,90.5,0.40149952308068393,0.4525,0.5831902463412345,200.0,either,35,1.1,1.0,False,13978.5,14069.0
2022-11-02 15:00:00,atr_breakdown,2022-11-02 16:00:00,11281.25,2022-11-02 16:00:00,11237.25,tightened_stop,1,88.0,0.3915548733008478,0.44,0.5596791583503351,200.0,either,35,1.1,1.0,False,14069.0,14157.0
2022-11-02 18:00:00,atr_breakdown,2022-11-02 19:00:00,11205.5,2022-11-02 19:00:00,10983.5,tightened_stop,1,444.0,2.021213638639785,2.22,0.6361489964412623,200.0,either,35,1.1,1.0,False,14157.0,14601.0
2022-11-02 19:00:00,atr_breakdown,2022-11-02 20:00:00,10985.25,2022-11-02 20:00:00,10954.5,tightened_stop,1,61.5,0.2807065589483848,0.3075,0.657141582579713,200.0,either,35,1.1,1.0,False,14601.0,14662.5
2022-11-28 18:00:00,atr_breakdown,2022-11-28 19:00:00,11675.5,2022-11-28 19:00:00,11640.75,tightened_stop,1,69.5,0.2985202843459378,0.3475,0.5004942921319316,200.0,either,35,1.1,1.0,False,14662.5,14732.0
2022-11-29 16:00:00,atr_breakdown,2022-11-29 17:00:00,11570.0,2022-11-29 17:00:00,11553.75,tightened_stop,1,32.5,0.14064697609001975,0.1625,0.5209012072385966,200.0,either,35,1.1,1.0,False,14732.0,14764.5
2022-12-15 07:00:00,atr_breakdown,2022-12-15 08:00:00,11691.5,2022-12-15 08:00:00,11649.25,tightened_stop,1,84.5,0.36268429298023097,0.4225,0.5745650566718441,200.0,either,35,1.1,1.0,False,14764.5,14849.0
2022-12-22 12:00:00,atr_breakdown,2022-12-22 13:00:00,11360.25,2022-12-22 13:00:00,11257.5,tightened_stop,1,205.5,0.9127248500999441,1.0275,0.6949062999703152,200.0,either,35,1.1,1.0,False,14849.0,15054.5
2022-12-22 13:00:00,atr_breakdown,2022-12-22 14:00:00,11269.75,2022-12-22 14:00:00,11157.25,tightened_stop,1,225.0,1.008312980349091,1.125,0.7380382928989101,200.0,either,35,1.1,1.0,False,15054.5,15279.5
2022-12-22 14:00:00,atr_breakdown,2022-12-22 15:00:00,11189.5,2022-12-22 15:00:00,11064.75,tightened_stop,1,249.5,1.1274543030795892,1.2475,0.5677581419130004,200.0,either,35,1.1,1.0,False,15279.5,15529.0
2022-12-22 15:00:00,atr_breakdown,2022-12-22 16:00:00,11073.0,2022-12-22 16:00:00,11028.5,tightened_stop,1,89.0,0.4035000226685348,0.445,0.580033447665873,200.0,either,35,1.1,1.0,False,15529.0,15618.0
2022-12-22 16:00:00,atr_breakdown,2022-12-22 17:00:00,11046.75,2022-12-22 17:00:00,10971.5,tightened_stop,1,150.5,0.6858679305473236,0.7525,0.5650138767180889,200.0,either,35,1.1,1.0,False,15618.0,15768.5
2022-12-22 17:00:00,atr_breakdown,2022-12-22 18:00:00,10994.0,2022-12-22 18:00:00,10936.75,tightened_stop,1,114.5,0.5234644661348264,0.5725,0.5904348117248703,200.0,either,35,1.1,1.0,False,15768.5,15883.0
2022-12-22 18:00:00,atr_breakdown,2022-12-22 19:00:00,10968.75,2022-12-22 19:00:00,10967.25,tightened_stop,1,3.0,0.01367708404567125,0.015,0.5692531107730486,200.0,either,35,1.1,1.0,False,15883.0,15886.0
2022-12-27 12:00:00,atr_breakdown,2022-12-27 13:00:00,11153.75,2022-12-27 13:00:00,11106.5,tightened_stop,1,94.5,0.4254265520190925,0.4725,0.535032593850797,200.0,either,35,1.1,1.0,False,15886.0,15980.5
2022-12-27 13:00:00,atr_breakdown,2022-12-27 14:00:00,11121.75,2022-12-27 14:00:00,10971.25,tightened_stop,1,301.0,1.3717671186054492,1.505,0.5506931047140132,200.0,either,35,1.1,1.0,False,15980.5,16281.5
2023-01-03 14:00:00,atr_breakdown,2023-01-03 15:00:00,11061.25,2023-01-03 15:00:00,10979.5,tightened_stop,1,163.5,0.7445694248372048,0.8175,0.7177591484127729,200.0,either,35,1.1,1.0,False,16281.5,16445.0
2023-01-03 14:00:00,rsi_rollover,2023-01-03 15:00:00,11061.25,2023-01-03 15:00:00,10979.5,tightened_stop,1,163.5,0.7445694248372048,0.8175,0.7177591484127729,200.0,either,35,1.1,1.0,False,16445.0,16608.5
2023-01-03 15:00:00,atr_breakdown,2023-01-03 16:00:00,11041.5,2023-01-03 16:00:00,10925.0,tightened_stop,1,233.0,1.0663615560640771,1.165,0.6824827610187388,200.0,either,35,1.1,1.0,False,16608.5,16841.5
2023-01-03 16:00:00,atr_breakdown,2023-01-03 17:00:00,10939.5,2023-01-03 17:00:00,10910.5,tightened_stop,1,58.0,0.2657990009623745,0.29,0.7095989404643626,200.0,either,35,1.1,1.0,False,16841.5,16899.5
2023-01-05 13:00:00,atr_breakdown,2023-01-05 14:00:00,10995.5,2023-01-05 14:00:00,10935.5,target,1,120.0,0.5486717571212996,0.6,0.587421815786972,200.0,either,35,1.1,1.0,False,16899.5,17019.5
2023-01-05 14:00:00,atr_breakdown,2023-01-05 15:00:00,10934.5,2023-01-05 20:00:00,10874.5,target,6,120.0,0.5517495057244082,0.6,0.5014140829361748,200.0,either,35,1.1,1.0,False,17019.5,17139.5
2023-01-05 20:00:00,atr_breakdown,2023-01-05 21:00:00,10886.0,2023-01-06 00:00:00,10882.25,tightened_stop,3,7.5,0.034459785430396295,0.0375,0.5309384107593724,200.0,either,35,1.1,1.0,False,17139.5,17147.0
2023-01-06 14:00:00,rsi_rollover,2023-01-06 15:00:00,10881.25,2023-01-06 15:00:00,10881.25,tightened_stop,1,0.0,0.0,0.0,0.5379772311242339,200.0,either,35,1.1,1.0,False,17147.0,17147.0
2023-01-18 15:00:00,rsi_rollover,2023-01-18 16:00:00,11682.0,2023-01-18 16:00:00,11584.0,tightened_stop,1,196.0,0.8459944751381121,0.98,0.5087298066956029,200.0,either,35,1.1,1.0,False,17147.0,17343.0
